domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|headline|recognition_statement|recognition_expansion|status|lookup_key
leadership-approach|vision_people_process_results|graduated|vision|people|process|results|Your leadership may move from Vision towards Results|You may recognise yourself in a stepped leadership rhythm: Vision starts the work, People gives it more range, Process adds support, and Results may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Results.|active|leadership-approach::vision_people_process_results::graduated
leadership-approach|vision_people_process_results|balanced|vision|people|process|results|You may move between Vision, People, Process, and Results|You may recognise yourself in moving between several leadership routes rather than relying on only one. Vision may appear first, but People, Process, and Results can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::vision_people_process_results::balanced
leadership-approach|people_results_process_vision|concentrated|people|results|process|vision|You may be recognised for People first|You may recognise yourself in the way you notice low confidence, unclear buy-in, or people being left behind by the pace of work before anything else. Others may experience more trust, better communication, and stronger shared understanding, especially when the work needs someone to keep trust and commitment visible in the work.|This can make leadership feel easier when People gives others something clear to orient around. It can become harder when care for people delays a decision, structure, or future direction the work now needs, so Results, Process, or Vision may need to be invited earlier.|active|leadership-approach::people_results_process_vision::concentrated
leadership-approach|people_results_process_vision|paired|people|results|process|vision|People and Results may work as a close pair|You may recognise yourself in the way People and Results come together under pressure. Others may experience more trust, better communication, and stronger shared understanding, with Results helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Process or Vision, which may be the range that keeps the work rounded.|active|leadership-approach::people_results_process_vision::paired
leadership-approach|people_results_process_vision|graduated|people|results|process|vision|Your leadership may move from People towards Vision|You may recognise yourself in a stepped leadership rhythm: People starts the work, Results gives it more range, Process adds support, and Vision may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Vision.|active|leadership-approach::people_results_process_vision::graduated
leadership-approach|people_results_process_vision|balanced|people|results|process|vision|You may move between People, Results, Process, and Vision|You may recognise yourself in moving between several leadership routes rather than relying on only one. People may appear first, but Results, Process, and Vision can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::people_results_process_vision::balanced
leadership-approach|people_results_vision_process|concentrated|people|results|vision|process|You may be recognised for People first|You may recognise yourself in the way you notice low confidence, unclear buy-in, or people being left behind by the pace of work before anything else. Others may experience more trust, better communication, and stronger shared understanding, especially when the work needs someone to keep trust and commitment visible in the work.|This can make leadership feel easier when People gives others something clear to orient around. It can become harder when care for people delays a decision, structure, or future direction the work now needs, so Results, Vision, or Process may need to be invited earlier.|active|leadership-approach::people_results_vision_process::concentrated
leadership-approach|people_results_vision_process|paired|people|results|vision|process|People and Results may work as a close pair|You may recognise yourself in the way People and Results come together under pressure. Others may experience more trust, better communication, and stronger shared understanding, with Results helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Vision or Process, which may be the range that keeps the work rounded.|active|leadership-approach::people_results_vision_process::paired
leadership-approach|people_results_vision_process|graduated|people|results|vision|process|Your leadership may move from People towards Process|You may recognise yourself in a stepped leadership rhythm: People starts the work, Results gives it more range, Vision adds support, and Process may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Process.|active|leadership-approach::people_results_vision_process::graduated
leadership-approach|people_results_vision_process|balanced|people|results|vision|process|You may move between People, Results, Vision, and Process|You may recognise yourself in moving between several leadership routes rather than relying on only one. People may appear first, but Results, Vision, and Process can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::people_results_vision_process::balanced
leadership-approach|people_process_results_vision|concentrated|people|process|results|vision|You may be recognised for People first|You may recognise yourself in the way you notice low confidence, unclear buy-in, or people being left behind by the pace of work before anything else. Others may experience more trust, better communication, and stronger shared understanding, especially when the work needs someone to keep trust and commitment visible in the work.|This can make leadership feel easier when People gives others something clear to orient around. It can become harder when care for people delays a decision, structure, or future direction the work now needs, so Process, Results, or Vision may need to be invited earlier.|active|leadership-approach::people_process_results_vision::concentrated
leadership-approach|people_process_results_vision|paired|people|process|results|vision|People and Process may work as a close pair|You may recognise yourself in the way People and Process come together under pressure. Others may experience more trust, better communication, and stronger shared understanding, with Process helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Results or Vision, which may be the range that keeps the work rounded.|active|leadership-approach::people_process_results_vision::paired
leadership-approach|people_process_results_vision|graduated|people|process|results|vision|Your leadership may move from People towards Vision|You may recognise yourself in a stepped leadership rhythm: People starts the work, Process gives it more range, Results adds support, and Vision may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Vision.|active|leadership-approach::people_process_results_vision::graduated
leadership-approach|people_process_results_vision|balanced|people|process|results|vision|You may move between People, Process, Results, and Vision|You may recognise yourself in moving between several leadership routes rather than relying on only one. People may appear first, but Process, Results, and Vision can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::people_process_results_vision::balanced
leadership-approach|people_process_vision_results|concentrated|people|process|vision|results|You may be recognised for People first|You may recognise yourself in the way you notice low confidence, unclear buy-in, or people being left behind by the pace of work before anything else. Others may experience more trust, better communication, and stronger shared understanding, especially when the work needs someone to keep trust and commitment visible in the work.|This can make leadership feel easier when People gives others something clear to orient around. It can become harder when care for people delays a decision, structure, or future direction the work now needs, so Process, Vision, or Results may need to be invited earlier.|active|leadership-approach::people_process_vision_results::concentrated
leadership-approach|people_process_vision_results|paired|people|process|vision|results|People and Process may work as a close pair|You may recognise yourself in the way People and Process come together under pressure. Others may experience more trust, better communication, and stronger shared understanding, with Process helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Vision or Results, which may be the range that keeps the work rounded.|active|leadership-approach::people_process_vision_results::paired
leadership-approach|people_process_vision_results|graduated|people|process|vision|results|Your leadership may move from People towards Results|You may recognise yourself in a stepped leadership rhythm: People starts the work, Process gives it more range, Vision adds support, and Results may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Results.|active|leadership-approach::people_process_vision_results::graduated
leadership-approach|people_process_vision_results|balanced|people|process|vision|results|You may move between People, Process, Vision, and Results|You may recognise yourself in moving between several leadership routes rather than relying on only one. People may appear first, but Process, Vision, and Results can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::people_process_vision_results::balanced
leadership-approach|people_vision_results_process|concentrated|people|vision|results|process|You may be recognised for People first|You may recognise yourself in the way you notice low confidence, unclear buy-in, or people being left behind by the pace of work before anything else. Others may experience more trust, better communication, and stronger shared understanding, especially when the work needs someone to keep trust and commitment visible in the work.|This can make leadership feel easier when People gives others something clear to orient around. It can become harder when care for people delays a decision, structure, or future direction the work now needs, so Vision, Results, or Process may need to be invited earlier.|active|leadership-approach::people_vision_results_process::concentrated
leadership-approach|people_vision_results_process|paired|people|vision|results|process|People and Vision may work as a close pair|You may recognise yourself in the way People and Vision come together under pressure. Others may experience more trust, better communication, and stronger shared understanding, with Vision helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Results or Process, which may be the range that keeps the work rounded.|active|leadership-approach::people_vision_results_process::paired
leadership-approach|people_vision_results_process|graduated|people|vision|results|process|Your leadership may move from People towards Process|You may recognise yourself in a stepped leadership rhythm: People starts the work, Vision gives it more range, Results adds support, and Process may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Process.|active|leadership-approach::people_vision_results_process::graduated
leadership-approach|people_vision_results_process|balanced|people|vision|results|process|You may move between People, Vision, Results, and Process|You may recognise yourself in moving between several leadership routes rather than relying on only one. People may appear first, but Vision, Results, and Process can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::people_vision_results_process::balanced
leadership-approach|people_vision_process_results|concentrated|people|vision|process|results|You may be recognised for People first|You may recognise yourself in the way you notice low confidence, unclear buy-in, or people being left behind by the pace of work before anything else. Others may experience more trust, better communication, and stronger shared understanding, especially when the work needs someone to keep trust and commitment visible in the work.|This can make leadership feel easier when People gives others something clear to orient around. It can become harder when care for people delays a decision, structure, or future direction the work now needs, so Vision, Process, or Results may need to be invited earlier.|active|leadership-approach::people_vision_process_results::concentrated
leadership-approach|people_vision_process_results|paired|people|vision|process|results|People and Vision may work as a close pair|You may recognise yourself in the way People and Vision come together under pressure. Others may experience more trust, better communication, and stronger shared understanding, with Vision helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Process or Results, which may be the range that keeps the work rounded.|active|leadership-approach::people_vision_process_results::paired
leadership-approach|people_vision_process_results|graduated|people|vision|process|results|Your leadership may move from People towards Results|You may recognise yourself in a stepped leadership rhythm: People starts the work, Vision gives it more range, Process adds support, and Results may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Results.|active|leadership-approach::people_vision_process_results::graduated
leadership-approach|people_vision_process_results|balanced|people|vision|process|results|You may move between People, Vision, Process, and Results|You may recognise yourself in moving between several leadership routes rather than relying on only one. People may appear first, but Vision, Process, and Results can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership-approach::people_vision_process_results::balanced
