domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
leadership-approach|vision_results_people_process|balanced|vision|results|people|process|How the pattern moves between Vision, Results, People, and Process|The pattern may have several usable entry points. Vision may appear first, but context can quickly call for Results, People, or Process without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across direction and future consequence, outcome and follow-through, trust and shared commitment, and structure and standards. It needs a clear current priority so others can follow the shift.|active|leadership-approach::vision_results_people_process::balanced
leadership-approach|vision_process_results_people|concentrated|vision|process|results|people|How Vision organises the response|Vision is likely to organise the first response by framing why the work matters, what it could become, and what future consequence is at stake. Process and Results add useful checks, while People may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes direction, meaning, and a better future frame feel like the clearest way to begin. The next signals test whether the work also has usable structure and a sequence people can trust, a clear outcome and a decision people can act on, and communication, confidence, and shared commitment.|It protects the work from short-term reactions, flat plans, and decisions with no clear reason. The main range to add is clearer communication, inclusion, and relational judgement, especially when the first response has already created movement.|active|leadership-approach::vision_process_results_people::concentrated
leadership-approach|vision_process_results_people|paired|vision|process|results|people|How Vision and Process work together|Vision and Process tend to operate as a close working pair. Vision gives the first entry point, while Process quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a wider direction and a reason for the choice being made and usable structure and a sequence people can trust. Results can steady the pair, and People is the range to bring in before the pair becomes too narrow.|It protects the link between direction and future consequence and structure and standards. It also needs enough room for clearer communication, inclusion, and relational judgement when the top pair starts to take most of the attention.|active|leadership-approach::vision_process_results_people::paired
leadership-approach|vision_process_results_people|graduated|vision|process|results|people|How the pattern moves from Vision to People|The pattern tends to move in steps: Vision starts the response, Process gives the next influence, Results adds support, and People may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from direction and future consequence towards outcome and follow-through. The main watch point is leaving clearer communication, inclusion, and relational judgement until the work has already narrowed.|active|leadership-approach::vision_process_results_people::graduated
leadership-approach|vision_process_results_people|balanced|vision|process|results|people|How the pattern moves between Vision, Process, Results, and People|The pattern may have several usable entry points. Vision may appear first, but context can quickly call for Process, Results, or People without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across direction and future consequence, structure and standards, outcome and follow-through, and trust and shared commitment. It needs a clear current priority so others can follow the shift.|active|leadership-approach::vision_process_results_people::balanced
leadership-approach|vision_process_people_results|concentrated|vision|process|people|results|How Vision organises the response|Vision is likely to organise the first response by framing why the work matters, what it could become, and what future consequence is at stake. Process and People add useful checks, while Results may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes direction, meaning, and a better future frame feel like the clearest way to begin. The next signals test whether the work also has usable structure and a sequence people can trust, communication, confidence, and shared commitment, and a clear outcome and a decision people can act on.|It protects the work from short-term reactions, flat plans, and decisions with no clear reason. The main range to add is firmer outcome, ownership, and follow-through, especially when the first response has already created movement.|active|leadership-approach::vision_process_people_results::concentrated
leadership-approach|vision_process_people_results|paired|vision|process|people|results|How Vision and Process work together|Vision and Process tend to operate as a close working pair. Vision gives the first entry point, while Process quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a wider direction and a reason for the choice being made and usable structure and a sequence people can trust. People can steady the pair, and Results is the range to bring in before the pair becomes too narrow.|It protects the link between direction and future consequence and structure and standards. It also needs enough room for firmer outcome, ownership, and follow-through when the top pair starts to take most of the attention.|active|leadership-approach::vision_process_people_results::paired
leadership-approach|vision_process_people_results|graduated|vision|process|people|results|How the pattern moves from Vision to Results|The pattern tends to move in steps: Vision starts the response, Process gives the next influence, People adds support, and Results may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from direction and future consequence towards trust and shared commitment. The main watch point is leaving firmer outcome, ownership, and follow-through until the work has already narrowed.|active|leadership-approach::vision_process_people_results::graduated
leadership-approach|vision_process_people_results|balanced|vision|process|people|results|How the pattern moves between Vision, Process, People, and Results|The pattern may have several usable entry points. Vision may appear first, but context can quickly call for Process, People, or Results without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across direction and future consequence, structure and standards, trust and shared commitment, and outcome and follow-through. It needs a clear current priority so others can follow the shift.|active|leadership-approach::vision_process_people_results::balanced
leadership-approach|vision_people_results_process|concentrated|vision|people|results|process|How Vision organises the response|Vision is likely to organise the first response by framing why the work matters, what it could become, and what future consequence is at stake. People and Results add useful checks, while Process may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes direction, meaning, and a better future frame feel like the clearest way to begin. The next signals test whether the work also has communication, confidence, and shared commitment, a clear outcome and a decision people can act on, and usable structure and a sequence people can trust.|It protects the work from short-term reactions, flat plans, and decisions with no clear reason. The main range to add is clearer steps, standards, and handover, especially when the first response has already created movement.|active|leadership-approach::vision_people_results_process::concentrated
leadership-approach|vision_people_results_process|paired|vision|people|results|process|How Vision and People work together|Vision and People tend to operate as a close working pair. Vision gives the first entry point, while People quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a wider direction and a reason for the choice being made and communication, confidence, and shared commitment. Results can steady the pair, and Process is the range to bring in before the pair becomes too narrow.|It protects the link between direction and future consequence and trust and shared commitment. It also needs enough room for clearer steps, standards, and handover when the top pair starts to take most of the attention.|active|leadership-approach::vision_people_results_process::paired
leadership-approach|vision_people_results_process|graduated|vision|people|results|process|How the pattern moves from Vision to Process|The pattern tends to move in steps: Vision starts the response, People gives the next influence, Results adds support, and Process may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from direction and future consequence towards outcome and follow-through. The main watch point is leaving clearer steps, standards, and handover until the work has already narrowed.|active|leadership-approach::vision_people_results_process::graduated
leadership-approach|vision_people_results_process|balanced|vision|people|results|process|How the pattern moves between Vision, People, Results, and Process|The pattern may have several usable entry points. Vision may appear first, but context can quickly call for People, Results, or Process without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across direction and future consequence, trust and shared commitment, outcome and follow-through, and structure and standards. It needs a clear current priority so others can follow the shift.|active|leadership-approach::vision_people_results_process::balanced
leadership-approach|vision_people_process_results|concentrated|vision|people|process|results|How Vision organises the response|Vision is likely to organise the first response by framing why the work matters, what it could become, and what future consequence is at stake. People and Process add useful checks, while Results may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes direction, meaning, and a better future frame feel like the clearest way to begin. The next signals test whether the work also has communication, confidence, and shared commitment, usable structure and a sequence people can trust, and a clear outcome and a decision people can act on.|It protects the work from short-term reactions, flat plans, and decisions with no clear reason. The main range to add is firmer outcome, ownership, and follow-through, especially when the first response has already created movement.|active|leadership-approach::vision_people_process_results::concentrated
leadership-approach|vision_people_process_results|paired|vision|people|process|results|How Vision and People work together|Vision and People tend to operate as a close working pair. Vision gives the first entry point, while People quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a wider direction and a reason for the choice being made and communication, confidence, and shared commitment. Process can steady the pair, and Results is the range to bring in before the pair becomes too narrow.|It protects the link between direction and future consequence and trust and shared commitment. It also needs enough room for firmer outcome, ownership, and follow-through when the top pair starts to take most of the attention.|active|leadership-approach::vision_people_process_results::paired
leadership-approach|vision_people_process_results|graduated|vision|people|process|results|How the pattern moves from Vision to Results|The pattern tends to move in steps: Vision starts the response, People gives the next influence, Process adds support, and Results may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from direction and future consequence towards structure and standards. The main watch point is leaving firmer outcome, ownership, and follow-through until the work has already narrowed.|active|leadership-approach::vision_people_process_results::graduated
leadership-approach|vision_people_process_results|balanced|vision|people|process|results|How the pattern moves between Vision, People, Process, and Results|The pattern may have several usable entry points. Vision may appear first, but context can quickly call for People, Process, or Results without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across direction and future consequence, trust and shared commitment, structure and standards, and outcome and follow-through. It needs a clear current priority so others can follow the shift.|active|leadership-approach::vision_people_process_results::balanced
leadership-approach|people_results_process_vision|concentrated|people|results|process|vision|How People organises the response|People is likely to organise the first response by checking trust, communication, inclusion, and what people need in order to move with the work. Results and Process add useful checks, while Vision may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes trust, shared understanding, and commitment feel like the clearest way to begin. The next signals test whether the work also has a clear outcome and a decision people can act on, usable structure and a sequence people can trust, and a wider direction and a reason for the choice being made.|It protects the work from low trust, weak buy-in, poor communication, and people being left behind by the pace of work. The main range to add is a stronger future frame, meaning, and possibility, especially when the first response has already created movement.|active|leadership-approach::people_results_process_vision::concentrated
leadership-approach|people_results_process_vision|paired|people|results|process|vision|How People and Results work together|People and Results tend to operate as a close working pair. People gives the first entry point, while Results quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both communication, confidence, and shared commitment and a clear outcome and a decision people can act on. Process can steady the pair, and Vision is the range to bring in before the pair becomes too narrow.|It protects the link between trust and shared commitment and outcome and follow-through. It also needs enough room for a stronger future frame, meaning, and possibility when the top pair starts to take most of the attention.|active|leadership-approach::people_results_process_vision::paired
leadership-approach|people_results_process_vision|graduated|people|results|process|vision|How the pattern moves from People to Vision|The pattern tends to move in steps: People starts the response, Results gives the next influence, Process adds support, and Vision may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from trust and shared commitment towards structure and standards. The main watch point is leaving a stronger future frame, meaning, and possibility until the work has already narrowed.|active|leadership-approach::people_results_process_vision::graduated
leadership-approach|people_results_process_vision|balanced|people|results|process|vision|How the pattern moves between People, Results, Process, and Vision|The pattern may have several usable entry points. People may appear first, but context can quickly call for Results, Process, or Vision without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across trust and shared commitment, outcome and follow-through, structure and standards, and direction and future consequence. It needs a clear current priority so others can follow the shift.|active|leadership-approach::people_results_process_vision::balanced
leadership-approach|people_results_vision_process|concentrated|people|results|vision|process|How People organises the response|People is likely to organise the first response by checking trust, communication, inclusion, and what people need in order to move with the work. Results and Vision add useful checks, while Process may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes trust, shared understanding, and commitment feel like the clearest way to begin. The next signals test whether the work also has a clear outcome and a decision people can act on, a wider direction and a reason for the choice being made, and usable structure and a sequence people can trust.|It protects the work from low trust, weak buy-in, poor communication, and people being left behind by the pace of work. The main range to add is clearer steps, standards, and handover, especially when the first response has already created movement.|active|leadership-approach::people_results_vision_process::concentrated
leadership-approach|people_results_vision_process|paired|people|results|vision|process|How People and Results work together|People and Results tend to operate as a close working pair. People gives the first entry point, while Results quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both communication, confidence, and shared commitment and a clear outcome and a decision people can act on. Vision can steady the pair, and Process is the range to bring in before the pair becomes too narrow.|It protects the link between trust and shared commitment and outcome and follow-through. It also needs enough room for clearer steps, standards, and handover when the top pair starts to take most of the attention.|active|leadership-approach::people_results_vision_process::paired
leadership-approach|people_results_vision_process|graduated|people|results|vision|process|How the pattern moves from People to Process|The pattern tends to move in steps: People starts the response, Results gives the next influence, Vision adds support, and Process may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from trust and shared commitment towards direction and future consequence. The main watch point is leaving clearer steps, standards, and handover until the work has already narrowed.|active|leadership-approach::people_results_vision_process::graduated
leadership-approach|people_results_vision_process|balanced|people|results|vision|process|How the pattern moves between People, Results, Vision, and Process|The pattern may have several usable entry points. People may appear first, but context can quickly call for Results, Vision, or Process without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across trust and shared commitment, outcome and follow-through, direction and future consequence, and structure and standards. It needs a clear current priority so others can follow the shift.|active|leadership-approach::people_results_vision_process::balanced
leadership-approach|people_process_results_vision|concentrated|people|process|results|vision|How People organises the response|People is likely to organise the first response by checking trust, communication, inclusion, and what people need in order to move with the work. Process and Results add useful checks, while Vision may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes trust, shared understanding, and commitment feel like the clearest way to begin. The next signals test whether the work also has usable structure and a sequence people can trust, a clear outcome and a decision people can act on, and a wider direction and a reason for the choice being made.|It protects the work from low trust, weak buy-in, poor communication, and people being left behind by the pace of work. The main range to add is a stronger future frame, meaning, and possibility, especially when the first response has already created movement.|active|leadership-approach::people_process_results_vision::concentrated
leadership-approach|people_process_results_vision|paired|people|process|results|vision|How People and Process work together|People and Process tend to operate as a close working pair. People gives the first entry point, while Process quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both communication, confidence, and shared commitment and usable structure and a sequence people can trust. Results can steady the pair, and Vision is the range to bring in before the pair becomes too narrow.|It protects the link between trust and shared commitment and structure and standards. It also needs enough room for a stronger future frame, meaning, and possibility when the top pair starts to take most of the attention.|active|leadership-approach::people_process_results_vision::paired
leadership-approach|people_process_results_vision|graduated|people|process|results|vision|How the pattern moves from People to Vision|The pattern tends to move in steps: People starts the response, Process gives the next influence, Results adds support, and Vision may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from trust and shared commitment towards outcome and follow-through. The main watch point is leaving a stronger future frame, meaning, and possibility until the work has already narrowed.|active|leadership-approach::people_process_results_vision::graduated
leadership-approach|people_process_results_vision|balanced|people|process|results|vision|How the pattern moves between People, Process, Results, and Vision|The pattern may have several usable entry points. People may appear first, but context can quickly call for Process, Results, or Vision without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across trust and shared commitment, structure and standards, outcome and follow-through, and direction and future consequence. It needs a clear current priority so others can follow the shift.|active|leadership-approach::people_process_results_vision::balanced
leadership-approach|people_process_vision_results|concentrated|people|process|vision|results|How People organises the response|People is likely to organise the first response by checking trust, communication, inclusion, and what people need in order to move with the work. Process and Vision add useful checks, while Results may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes trust, shared understanding, and commitment feel like the clearest way to begin. The next signals test whether the work also has usable structure and a sequence people can trust, a wider direction and a reason for the choice being made, and a clear outcome and a decision people can act on.|It protects the work from low trust, weak buy-in, poor communication, and people being left behind by the pace of work. The main range to add is firmer outcome, ownership, and follow-through, especially when the first response has already created movement.|active|leadership-approach::people_process_vision_results::concentrated
leadership-approach|people_process_vision_results|paired|people|process|vision|results|How People and Process work together|People and Process tend to operate as a close working pair. People gives the first entry point, while Process quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both communication, confidence, and shared commitment and usable structure and a sequence people can trust. Vision can steady the pair, and Results is the range to bring in before the pair becomes too narrow.|It protects the link between trust and shared commitment and structure and standards. It also needs enough room for firmer outcome, ownership, and follow-through when the top pair starts to take most of the attention.|active|leadership-approach::people_process_vision_results::paired
leadership-approach|people_process_vision_results|graduated|people|process|vision|results|How the pattern moves from People to Results|The pattern tends to move in steps: People starts the response, Process gives the next influence, Vision adds support, and Results may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from trust and shared commitment towards direction and future consequence. The main watch point is leaving firmer outcome, ownership, and follow-through until the work has already narrowed.|active|leadership-approach::people_process_vision_results::graduated
leadership-approach|people_process_vision_results|balanced|people|process|vision|results|How the pattern moves between People, Process, Vision, and Results|The pattern may have several usable entry points. People may appear first, but context can quickly call for Process, Vision, or Results without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across trust and shared commitment, structure and standards, direction and future consequence, and outcome and follow-through. It needs a clear current priority so others can follow the shift.|active|leadership-approach::people_process_vision_results::balanced
leadership-approach|people_vision_results_process|concentrated|people|vision|results|process|How People organises the response|People is likely to organise the first response by checking trust, communication, inclusion, and what people need in order to move with the work. Vision and Results add useful checks, while Process may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes trust, shared understanding, and commitment feel like the clearest way to begin. The next signals test whether the work also has a wider direction and a reason for the choice being made, a clear outcome and a decision people can act on, and usable structure and a sequence people can trust.|It protects the work from low trust, weak buy-in, poor communication, and people being left behind by the pace of work. The main range to add is clearer steps, standards, and handover, especially when the first response has already created movement.|active|leadership-approach::people_vision_results_process::concentrated
leadership-approach|people_vision_results_process|paired|people|vision|results|process|How People and Vision work together|People and Vision tend to operate as a close working pair. People gives the first entry point, while Vision quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both communication, confidence, and shared commitment and a wider direction and a reason for the choice being made. Results can steady the pair, and Process is the range to bring in before the pair becomes too narrow.|It protects the link between trust and shared commitment and direction and future consequence. It also needs enough room for clearer steps, standards, and handover when the top pair starts to take most of the attention.|active|leadership-approach::people_vision_results_process::paired
leadership-approach|people_vision_results_process|graduated|people|vision|results|process|How the pattern moves from People to Process|The pattern tends to move in steps: People starts the response, Vision gives the next influence, Results adds support, and Process may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from trust and shared commitment towards outcome and follow-through. The main watch point is leaving clearer steps, standards, and handover until the work has already narrowed.|active|leadership-approach::people_vision_results_process::graduated
leadership-approach|people_vision_results_process|balanced|people|vision|results|process|How the pattern moves between People, Vision, Results, and Process|The pattern may have several usable entry points. People may appear first, but context can quickly call for Vision, Results, or Process without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across trust and shared commitment, direction and future consequence, outcome and follow-through, and structure and standards. It needs a clear current priority so others can follow the shift.|active|leadership-approach::people_vision_results_process::balanced
leadership-approach|people_vision_process_results|concentrated|people|vision|process|results|How People organises the response|People is likely to organise the first response by checking trust, communication, inclusion, and what people need in order to move with the work. Vision and Process add useful checks, while Results may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes trust, shared understanding, and commitment feel like the clearest way to begin. The next signals test whether the work also has a wider direction and a reason for the choice being made, usable structure and a sequence people can trust, and a clear outcome and a decision people can act on.|It protects the work from low trust, weak buy-in, poor communication, and people being left behind by the pace of work. The main range to add is firmer outcome, ownership, and follow-through, especially when the first response has already created movement.|active|leadership-approach::people_vision_process_results::concentrated
leadership-approach|people_vision_process_results|paired|people|vision|process|results|How People and Vision work together|People and Vision tend to operate as a close working pair. People gives the first entry point, while Vision quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both communication, confidence, and shared commitment and a wider direction and a reason for the choice being made. Process can steady the pair, and Results is the range to bring in before the pair becomes too narrow.|It protects the link between trust and shared commitment and direction and future consequence. It also needs enough room for firmer outcome, ownership, and follow-through when the top pair starts to take most of the attention.|active|leadership-approach::people_vision_process_results::paired
leadership-approach|people_vision_process_results|graduated|people|vision|process|results|How the pattern moves from People to Results|The pattern tends to move in steps: People starts the response, Vision gives the next influence, Process adds support, and Results may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from trust and shared commitment towards structure and standards. The main watch point is leaving firmer outcome, ownership, and follow-through until the work has already narrowed.|active|leadership-approach::people_vision_process_results::graduated
leadership-approach|people_vision_process_results|balanced|people|vision|process|results|How the pattern moves between People, Vision, Process, and Results|The pattern may have several usable entry points. People may appear first, but context can quickly call for Vision, Process, or Results without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across trust and shared commitment, direction and future consequence, structure and standards, and outcome and follow-through. It needs a clear current priority so others can follow the shift.|active|leadership-approach::people_vision_process_results::balanced
